iter	RMSE
0	58062.75498
1	53888.43454
2	50285.55788
3	47068.88787
4	44254.79706
5	41841.04472
6	39652.19402
7	37818.94494
8	36277.20489
9	34830.27048
10	33599.65771
11	32553.45519
12	31700.85581
13	30929.84863
14	30289.08144
15	29773.26543
16	29323.31076
17	28969.54347
18	28652.28711
19	28404.88655
20	28199.1663
21	28012.9417
22	27860.17772
23	27734.71493
24	27623.53116
25	27540.86258
26	27471.28262
27	27404.58345
28	27345.89047
29	27300.28664
30	27262.59748
31	27229.25253
32	27195.01828
33	27166.99996
34	27140.23282
35	27117.08486
36	27099.02356
37	27083.1226
38	27066.18922
39	27051.49028
40	27037.1754
41	27027.28779
42	27017.70478
43	27008.31678
44	27002.75628
45	26992.03532
46	26981.14387
47	26970.85726
48	26962.66849
49	26953.20644
50	26945.96168
51	26941.44732
52	26936.98369
53	26933.66178
54	26927.79927
55	26926.797
56	26918.59403
57	26915.51278
58	26907.66178
59	26899.82151
60	26893.89156
61	26887.3094
62	26882.43287
63	26878.36876
64	26870.5428
65	26864.13395
66	26862.95543
67	26858.62952
68	26844.49156
69	26839.41685
70	26837.10728
71	26826.03195
72	26822.06214
73	26806.44184
74	26794.34284
75	26785.04593
76	26779.17507
77	26776.8817
78	26769.52028
79	26762.61715
80	26754.91923
81	26750.72052
82	26742.18331
83	26734.36937
84	26722.82161
85	26716.98407
86	26708.73368
87	26707.55308
88	26700.52881
89	26692.27769
90	26686.84024
91	26679.70064
92	26671.06348
93	26667.96579
94	26660.65761
95	26658.05964
96	26654.53136
97	26645.56679
98	26639.88258
99	26634.22171
100	26629.5542
101	26629.03998
102	26619.83993
103	26611.49299
104	26604.63853
105	26602.16102
106	26600.12264
107	26597.43725
108	26585.93942
109	26584.7006
110	26575.39482
111	26572.99898
112	26565.31841
113	26563.24554
114	26556.37574
115	26551.65446
116	26549.69557
117	26547.00532
118	26538.68755
119	26536.07783
120	26531.04972
121	26524.02456
122	26517.4193
123	26513.87151
124	26506.02221
125	26498.46174
126	26492.674
127	26485.26857
128	26476.91966
129	26468.52963
130	26461.55943
131	26459.16357
132	26453.7863
133	26451.04801
134	26447.53943
135	26445.12896
136	26443.0284
137	26435.62188
138	26427.97782
139	26415.8219
140	26413.62338
141	26410.68359
142	26405.38119
143	26401.77111
144	26399.81808
145	26394.52815
146	26384.63481
147	26378.16257
148	26375.42926
149	26367.89892
150	26359.15713
151	26354.78456
152	26351.35011
153	26344.63312
154	26344.02897
155	26340.90007
156	26333.17479
157	26327.97777
158	26323.73097
159	26319.30045
160	26311.96064
161	26302.0175
162	26296.5344
163	26292.80262
164	26289.92727
165	26282.99316
166	26280.95597
167	26278.00744
168	26269.83254
169	26267.59246
170	26261.82191
171	26259.24461
172	26255.54688
173	26254.07683
174	26249.72948
175	26242.42331
176	26239.09733
177	26231.61402
178	26231.18021
179	26228.27373
180	26222.8445
181	26216.74933
182	26205.19765
183	26203.8288
184	26199.70816
185	26194.42541
186	26190.37789
187	26182.64359
188	26180.02906
189	26175.87123
190	26172.40773
191	26165.45019
192	26161.4931
193	26157.7978
194	26153.34237
195	26148.27746
196	26138.25757
197	26130.43762
198	26127.7165
199	26123.22628
