iter	Passed	Remaining
0	7	1539
1	15	1496
2	22	1505
3	30	1473
4	38	1491
5	46	1496
6	56	1564
7	67	1612
8	75	1599
9	83	1592
10	91	1565
11	98	1541
12	105	1514
13	112	1492
14	119	1469
15	126	1452
16	133	1440
17	141	1427
18	148	1414
19	155	1399
20	162	1387
21	169	1373
22	176	1360
23	183	1344
24	190	1330
25	197	1321
26	204	1311
27	212	1303
28	219	1295
29	227	1289
30	235	1282
31	243	1279
32	251	1270
33	258	1262
34	266	1254
35	272	1243
36	279	1233
37	286	1220
38	292	1208
39	300	1201
40	308	1194
41	315	1185
42	322	1177
43	330	1171
44	337	1160
45	345	1155
46	352	1147
47	359	1139
48	366	1130
49	373	1120
50	380	1111
51	388	1104
52	394	1095
53	402	1088
54	409	1080
55	416	1071
56	424	1064
57	431	1055
58	438	1047
59	445	1038
60	451	1029
61	458	1021
62	465	1012
63	472	1003
64	479	995
65	486	987
66	493	979
67	499	970
68	506	962
69	514	956
70	521	947
71	528	938
72	535	930
73	541	921
74	548	913
75	554	905
76	561	896
77	567	887
78	575	880
79	582	873
80	589	865
81	596	857
82	602	849
83	608	840
84	615	832
85	622	824
86	628	815
87	634	807
88	640	799
89	647	790
90	653	782
91	660	774
92	667	768
93	674	760
94	682	753
95	690	748
96	699	742
97	706	735
98	713	727
99	720	720
100	727	713
101	734	705
102	741	698
103	748	690
104	754	682
105	760	674
106	768	667
107	774	660
108	780	651
109	787	644
110	793	636
111	801	629
112	807	621
113	813	614
114	820	606
115	826	598
116	835	592
117	842	585
118	849	577
119	857	571
120	863	563
121	870	556
122	877	549
123	885	542
124	893	536
125	900	529
126	908	522
127	915	515
128	922	507
129	929	500
130	935	492
131	942	485
132	949	478
133	956	470
134	963	463
135	969	456
136	977	449
137	984	442
138	990	434
139	1000	428
140	1007	421
141	1013	414
142	1020	406
143	1026	399
144	1033	392
145	1040	384
146	1046	377
147	1053	370
148	1059	362
149	1065	355
150	1071	347
151	1077	340
152	1083	332
153	1089	325
154	1096	318
155	1102	310
156	1108	303
157	1114	296
158	1120	288
159	1125	281
160	1131	274
161	1137	266
162	1144	259
163	1150	252
164	1157	245
165	1165	238
166	1172	231
167	1179	224
168	1185	217
169	1191	210
170	1197	203
171	1204	196
172	1209	188
173	1216	181
174	1222	174
175	1228	167
176	1233	160
177	1240	153
178	1247	146
179	1253	139
180	1259	132
181	1266	125
182	1273	118
183	1281	111
184	1287	104
185	1294	97
186	1301	90
187	1308	83
188	1319	76
189	1331	70
190	1343	63
191	1354	56
192	1364	49
193	1373	42
194	1380	35
195	1388	28
196	1398	21
197	1406	14
198	1413	7
199	1419	0
